x_mm,y_mm,height_mm,biomass,eps,active_sediment_mm,layer_id
29.000000,6.000000,11.731459,0.182172,0.181575,0.286716,8.000000
30.000000,6.000000,11.742016,0.182174,0.181575,0.288509,8.000000
31.000000,6.000000,11.753452,0.182179,0.181575,0.290603,9.000000
32.000000,6.000000,11.761641,0.182189,0.181577,0.286066,9.000000
33.000000,6.000000,11.767334,0.182181,0.181575,0.287469,9.000000
34.000000,6.000000,11.767908,0.182179,0.181575,0.287900,9.000000
35.000000,6.000000,11.761143,0.182177,0.181573,0.287714,8.000000
36.000000,6.000000,11.754280,0.182183,0.181574,0.279317,8.000000
37.000000,6.000000,11.753560,0.182172,0.181570,0.279046,8.000000
38.000000,6.000000,11.749776,0.182168,0.181569,0.290419,8.000000
39.000000,6.000000,11.738173,0.182165,0.181569,0.285192,8.000000
40.000000,6.000000,11.728474,0.182162,0.181569,0.283882,9.000000
0.000000,7.000000,11.790382,0.182196,0.181574,0.282439,8.000000
1.000000,7.000000,11.780003,0.182193,0.181575,0.285764,9.000000
2.000000,7.000000,11.770506,0.182182,0.181574,0.281516,9.000000
3.000000,7.000000,11.756868,0.182186,0.181576,0.278535,9.000000
4.000000,7.000000,11.735575,0.091005,0.072254,0.115742,8.000000
5.000000,7.000000,11.739469,0.182182,0.181575,0.283540,9.000000
6.000000,7.000000,11.730074,0.182167,0.181570,0.280819,9.000000
7.000000,7.000000,11.718780,0.182160,0.181568,0.281042,8.000000
8.000000,7.000000,11.715121,0.182158,0.181566,0.288499,9.000000
9.000000,7.000000,11.714042,0.182156,0.181566,0.288156,8.000000
10.000000,7.000000,11.720496,0.182152,0.181563,0.286879,9.000000
11.000000,7.000000,11.734122,0.182148,0.181559,0.280913,8.000000
12.000000,7.000000,11.757981,0.182156,0.181560,0.286846,9.000000
13.000000,7.000000,11.769335,0.182169,0.181563,0.291190,8.000000
14.000000,7.000000,11.760499,0.182160,0.181561,0.282793,9.000000
15.000000,7.000000,11.735529,0.182154,0.181562,0.278423,9.000000
16.000000,7.000000,11.720285,0.182154,0.181564,0.287664,8.000000
17.000000,7.000000,11.712634,0.182153,0.181564,0.287362,9.000000
18.000000,7.000000,11.709834,0.182154,0.181565,0.291818,8.000000
19.000000,7.000000,11.711099,0.182155,0.181565,0.286782,9.000000
20.000000,7.000000,11.714735,0.182155,0.181564,0.286764,9.000000
21.000000,7.000000,11.720901,0.182158,0.181566,0.286395,9.000000
22.000000,7.000000,11.725618,0.182161,0.181567,0.281646,8.000000
23.000000,7.000000,11.727434,0.182164,0.181569,0.291664,9.000000
24.000000,7.000000,11.724900,0.182165,0.181570,0.290988,8.000000
25.000000,7.000000,11.723290,0.182167,0.181572,0.289741,8.000000
26.000000,7.000000,11.720938,0.182169,0.181573,0.277697,8.000000
27.000000,7.000000,11.723321,0.182171,0.181575,0.289028,8.000000
28.000000,7.000000,11.725966,0.182170,0.181574,0.279527,8.000000
29.000000,7.000000,11.733178,0.182174,0.181576,0.283494,9.000000
30.000000,7.000000,11.748356,0.182177,0.181576,0.287510,9.000000
31.000000,7.000000,11.765085,0.182188,0.181577,0.288923,9.000000
32.000000,7.000000,11.769704,0.091764,0.073324,0.122164,8.000000
33.000000,7.000000,11.789325,0.182194,0.181576,0.291284,9.000000
34.000000,7.000000,11.787225,0.182192,0.181575,0.284951,8.000000
35.000000,7.000000,11.776325,0.182189,0.181575,0.281359,8.000000
36.000000,7.000000,11.751838,0.091760,0.073323,0.123060,8.000000
37.000000,7.000000,11.752825,0.182178,0.181572,0.286851,8.000000
38.000000,7.000000,11.745381,0.182166,0.181569,0.291077,8.000000
39.000000,7.000000,11.731913,0.182161,0.181568,0.281951,8.000000
40.000000,7.000000,11.724018,0.182159,0.181567,0.280773,8.000000
0.000000,8.000000,11.772311,0.091017,0.072258,0.115861,8.000000
1.000000,8.000000,11.775959,0.182193,0.181576,0.284726,8.000000
2.000000,8.000000,11.766791,0.182181,0.181576,0.291347,9.000000
3.000000,8.000000,11.755597,0.182180,0.181576,0.282178,9.000000
4.000000,8.000000,11.746111,0.182186,0.181576,0.287823,9.000000
5.000000,8.000000,11.739653,0.182175,0.181573,0.286851,9.000000
6.000000,8.000000,11.729282,0.182168,0.181572,0.285645,8.000000
7.000000,8.000000,11.719193,0.182163,0.181570,0.281766,9.000000
8.000000,8.000000,11.716593,0.182159,0.181567,0.279956,8.000000
9.000000,8.000000,11.719327,0.182156,0.181565,0.284603,9.000000
10.000000,8.000000,11.728273,0.182149,0.181559,0.285924,9.000000
11.000000,8.000000,11.745769,0.182138,0.181547,0.289102,8.000000
12.000000,8.000000,11.767833,0.182154,0.181557,0.290792,9.000000
13.000000,8.000000,11.779544,0.182174,0.181563,0.287759,9.000000
